title,company,expected,link,project,level,work mode,salary,salary_for,city,ukrainian_people
Software Engineer (Machine Learning - MLOps) for Product Intelligence Team,Tesco Technology,"Python,Microsoft Azure","https://www.pracuj.pl/praca/software-engineer-machine-learning-mlops-for-product-intelligence-team-krakow-przy-rondzie-4,oferta,1003698207","Product Intelligence is part of commercial domain of Tesco.  We help our customers and the communities where we operate get the most value from data. We look after Product data and associated entities and try to continuously enrich it. We have an opportunity to make difference in our our customers shop at Tesco . Product data plays crucial role across entire retail domain and enhancing it, creating new offering on top of it unlocks lot of Business values.",specialist (Mid / Regular),hybrid work,,,Kraków,True
Junior Vehicle Software I&T Engineer,GlobalLogic Poland,C,"https://www.pracuj.pl/praca/junior-vehicle-software-i-t-engineer-krakow,oferta,1003666655","We are looking for a Junior Vehicle Software I&T Engineer who wants to shape the future by creating cutting-edge solutions. We are working on the most captivating experiences in the latest frontier of automotive technology. When you join us, you will be part of a 20-people team for the validation activities in the next-generation vehicle controllers and software platform.,In your daily work, you will come into contact with the new architecture that will integrate new and advanced software functions for cloud connectivity, EDGE processing, thus enabling highly automated driving and advanced connectivity features.,Not only will you gain experience in a highly valued area, but you will also have fun being part of an efficient team. Don’t wait, just apply!",junior specialist (Junior),hybrid work,,,,False
Architekt oprogramowania (systemy identyfikacji),PIT-RADWAR S.A.,"C,C++,Python","https://www.pracuj.pl/praca/architekt-oprogramowania-systemy-identyfikacji-warszawa-poligonowa-30,oferta,1003670124","Zapewniamy ciekawą pracę w projektach, które umożliwiają stałe poszukiwanie nowych koncepcji i rozwiązań w celu tworzenia innowacyjnych produktów wykorzystujących najnowsze technologie przy jednoczesnym spełnianiu najnowszych standardów NATO oraz rygorystycznych wymogów niezawodnościowych.","specjalista (Mid / Regular), starszy specjalista (Senior)","praca stacjonarna, praca hybrydowa",,,Warszawa,False
Senior Linux/Unix Automation Engineer,Sopra Steria Polska Sp. z o.o.,"Ansible,Red Hat Sattelite,EfficientIP,Python,Bash,Linux","https://www.pracuj.pl/praca/senior-linux-unix-automation-engineer-katowice-uniwersytecka-13,oferta,1003704675","Join our innovative squads as a Senior Linux/Unix Automation Engineer, where you will play a pivotal role in the development and optimization of Unix automation. This squad automates actions that allow us to manage the amount of machines we are responsible for. This includes but is not limited to patching, reboots and configuration.  If you are experienced in Ansible, Red Hat Sattelite, efficientIP, Python and Bash, and have an good Linux system knowledge, we invite you to be a key contributor to these subjects.,Tech stack on the project: Unix, Ansible, Red Hat, Python, Bash, Linux, GitLab, Perl",senior specialist (Senior),home office work,15000–18000,gross / mth.,Katowice,True
Specjalista ds. analiz,ORLEN S.A.,,"https://www.pracuj.pl/praca/specjalista-ds-analiz-warszawa-marcina-kasprzaka-25,oferta,1003715715",,specjalista (Mid / Regular),praca stacjonarna,,,Warszawa,False
Informatyk - Młodszy Specjalista HelpDesk,Alfavox Sp. z o.o.,,"https://www.pracuj.pl/praca/informatyk-mlodszy-specjalista-helpdesk-bielsko-biala,oferta,1003707163",,młodszy specjalista (Junior),praca stacjonarna,,,,False
Data Engineer,DATUMO sp. z o.o.,"Google Cloud Platform,Azure DevOps,AWS,Scala,Java,Kotlin,Python,SQL,Apache Spark,BigQuery,Snowflake,Hive","https://www.pracuj.pl/praca/data-engineer-warszawa-jozefa-piusa-dziekonskiego-1,oferta,1003714612","Datumo specializes in providing Big Data and Cloud consulting services to clients from all over the world, primarily in Western Europe, Poland and the USA. Core industries we support include e-commerce, telecommunications and life science. Our team consists of exceptional people whose commitment allows us to conduct highly demanding projects.",specialist (Mid / Regular),home office work,14000–25000,net (+ VAT) / mth.,Warszawa,False
Senior DevOps & Fullstack Engineer,YOUR ITEAMS sp. z o.o.,"Kubernetes,AWS,Angular,React.js,Node.js,Java,Spring Boot,Python","https://www.pracuj.pl/praca/senior-devops-fullstack-engineer-warszawa,oferta,1003722419","We are looking for experienced DevOps and Fullstack Engineer who will support our client and his international project.,•	100% remote work,•	Full time, long-term cooperation,•	Project overview: On prem cloud solutions migration to the AWS Cloud (more then 200 applications).,•	Recruitment process: 2 technical interviews",senior specialist (Senior),home office work,"160,00–190,00",net (+ VAT) / hr.,,False
Model Developer,Commerzbank AG,"Python,R,SAS,SQL","https://www.pracuj.pl/praca/model-developer-lodz-wersalska-6,oferta,1003675196",📢 Join our team as a Model Developer! 📢,specialist (Mid / Regular),"home office work, hybrid work",,,Łódź,True
Senior MLOps Engineer,SNI sp. z o.o.,"Python,Go,AWS,Microsoft Azure","https://www.pracuj.pl/praca/senior-mlops-engineer-warszawa,oferta,1003719859","Emerging Tech Developers create rapid proofs of concept to test hypotheses about how emerging technologies can be applied to business use cases. We learn and explore at the forefront of Artificial Intelligence, Blockchain, Internet of Things, Robotics, Virtual Reality and Augmented Reality. The lab’s role is to generate prototypes, demos and learnings that our teams and clients can use when deciding how to apply and invest in emerging technologies.",senior specialist (Senior),home office work,,,,False
Software Engineer III (PHP),Box Inc.,"PHP,Jenkins,Puppet","https://www.pracuj.pl/praca/software-engineer-iii-php-warszawa-chmielna-69,oferta,1003675943","Software Engineer III, PHP,*Our compensation structure is the base salary and equity in the form of restricted stock units.,What is Box?,Box is the market leader for Cloud Content Management. Our mission is to power how the world works together. Box is partnering with enterprise organizations to accelerate their digital transformation by creating a single platform for secure content management, collaboration, and workflow. We have an amazing opportunity to further establish ourselves as leaders in the space, and we need strong advocates to help us achieve that goal. By joining Box, you will have the unique opportunity to help capture a majority of this developing market and define what content management looks like for the digital enterprise. Today, Box powers 100,000+ businesses, including many top Fortune 500 companies, who trust our secure collaboration platform to manage the entire content lifecycle.,Why Box needs you?,While a significant part of Box's operations is managed by Java and Scala microservices, a monolithic PHP codebase is responsible for much of the critical application logic. This large codebase is contributed to by hundreds of developers at Box and is deployed to production multiple times a day. We're looking for a strong Software Engineer to join our growing Monolith Foundations team in Poland.,The team's mission: to ensure that code makes it from developers' laptops to consumption by our customers safely, frequently and expeditiously.,PERCENTAGE OF TIME SPENT,35% evolving existing infrastructure,25% new features,25% developer support,15% Others,METHODOLOGY,Agile management - Scrum, Kanban,Issue tracking tool - Jira,Knowledge repository - Confluence, GitHub,Version control system - GIT,Build server - Jenkins,Virtualization - Docker,Cloud infrastructure - GCP,Operating system - Linux, macOS,Application stack - JVM, Spring, Apache, PHP, nginx,Databases - MySQL, Redis, Proprietary, Memcached,EQUAL OPPORTUNITY,We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, disability, and any other protected ground of discrimination under applicable human rights legislation"". For details on how we protect your information when you apply, please see our Personnel Privacy Notice. For more details on how Box Poland protects your information, please see our Supplemental Personnel and Candidate Privacy Notice.",specialist (Mid / Regular),hybrid work,24000–29000,gross / mth.,Warszawa,True
